Stats on top 100 results,,,,,,,,,,
keyword,count,average confidence,max confidence,Hits / 1430172,average confidence of top 10%,meaning,relevant,relative count,relative hits,sample weight
Manpower,,,,,,,,,,
27.05.21,28,0.0329296429,0.09943,29138,0.3351557105,One letter,,0.28,0.0203737732,
27.99.23,21,0.0355338095,0.1393,2427,0.3351557105,Letter “W”,,0.21,0.0016969987,
27.05.22,14,0.0299985714,0.1393,14566,0.3351557105,"Monograms formed of intertwined, overlapping or otherwise combined letters",,0.14,0.010184789,
27.99.13,10,0.043051,0.09943,6894,0.3351557105,Letter “M”,,0.1,0.0048203992,
29.01.01,7,0.1405063714,0.8487346,28169,0.3351557105,"Red, pink, orange",,0.07,0.0196962323,
29.01.04,6,0.1761941,0.8487346,30911,0.3351557105,Blue,,0.06,0.0216134843,
27.99.22,5,0.044582,0.1393,3084,0.3351557105,Letter “V”,,0.05,0.002156384,
27.99.14,5,0.029496,0.0413,2390,0.3351557105,Letter “N”,,0.05,0.0016711277,
27.99.01,5,0.021272,0.02941,6137,0.3351557105,Letter “A”,,0.05,0.0042910923,
26.11.98,4,0.6644967088,0.94471136,6782,0.3351557105,More than three lines,1,0.04,0.004742087,
29.01.08,4,0.024175,0.03897,17277,0.3351557105,Black,,0.04,0.0120803652,
29.01.03,4,0.22431615,0.8487346,16199,0.3351557105,Green,,0.04,0.0113266097,
26.11.09,4,0.6644967088,0.94471136,5044,0.3351557105,Oblique lines or bands,1,0.04,0.0035268485,
26.11.13,4,0.0468050675,0.11560027,8210,0.3351557105,"Wavy lines or bands, zigzag lines or bands",,0.04,0.0057405683,
26.01.03,4,0.0201175,0.02902,30880,0.3351557105,One circle,,0.04,0.0215918085,
27.05.01,4,0.0260625,0.0556,76491,0.3351557105,Letters presenting a special form of writing,,0.04,0.0534837768,
26.11.01,3,0.0207566667,0.0314,16823,0.3351557105,One line or one band,,0.03,0.0117629208,
29.01.96,3,0.0587766667,0.1393,11795,0.3351557105,Grey,,0.03,0.0082472598,
29.01.98,3,0.2927182,0.8487346,10164,0.3351557105,Orange,,0.03,0.0071068375,
28.03,3,0.0152733333,0.01746,6290,0.3351557105,INSCRIPTIONS IN CHINESE OR JAPANESE CHARACTERS,,0.03,0.0043980724,
25.05.99,3,0.02897,0.03897,14827,0.3351557105,"Backgrounds, in words or numerals, divided into two, three or four",,0.03,0.0103672845,
27.99.03,3,0.0201233333,0.02911,6684,0.3351557105,Letter “C”,,0.03,0.0046735637,
27.99.02,3,0.02017,0.03332,5202,0.3351557105,Letter “B”,,0.03,0.0036373247,
05.05.20,3,0.01449,0.01838,7099,0.3351557105,Stylized flowers,,0.03,0.0049637386,
27.99.09,3,0.01971,0.02787,3499,0.3351557105,Letter “I”,,0.03,0.0024465589,
03.09.24,2,0.022215,0.0267,1715,0.3351557105,Animals of division 3.9 stylized,,0.02,0.0011991565,
26.04.09,2,0.015785,0.01628,12400,0.3351557105,"Several quadrilaterals juxtaposed, joined or intersecting",,0.02,0.0086702858,
03.07.17,2,0.05584,0.06135,2132,0.3351557105,"Wings, stylized or not",,0.02,0.0014907298,
01.13.01,2,0.02074,0.02941,2989,0.3351557105,"Armillary spheres, planetaria, astronomic orbits, atomic models, molecular models",,0.02,0.0020899584,
24.17.02,2,0.020185,0.02311,2222,0.3351557105,Dots,,0.02,0.0015536593,
24.17.01,2,0.0602,0.07385,2301,0.3351557105,"Punctuation marks, brackets, quotation marks",,0.02,0.0016088974,
24.17.04,2,0.01541,0.0186,1750,0.3351557105,"Exclamation marks, question marks",,0.02,0.001223629,
26.13.25,2,0.01384,0.01497,5182,0.3351557105,"Other geometrical figures, indefinable designs",,0.02,0.0036233404,
24.09.02,2,0.016045,0.01979,2708,0.3351557105,Crowns open at the top,,0.02,0.0018934785,
26.11.06,2,0.02718,0.0314,10867,0.3351557105,"Thick lines, bands",,0.02,0.0075983868,
02.09.15,2,0.015045,0.01657,867,0.3351557105,Open hands (palm or back),,0.02,0.0006062208,
26.01.96,2,0.016135,0.01696,3055,0.3351557105,More than three circles juxtaposed,,0.02,0.0021361067,
26.07.05,2,0.050225,0.08467,2410,0.3351557105,Circles or ellipses with one or more other quadrilaterals,,0.02,0.001685112,
25.05.95,2,0.01883,0.01883,5866,0.3351557105,"Backgrounds, in words or numerals, divided into two, horizontally",,0.02,0.0041016046,
25.05.94,2,0.07588,0.1393,13194,0.3351557105,"Backgrounds, in words or numerals, divided into two, vertically",,0.02,0.0092254638,
25.07.06,2,0.01707,0.01718,2236,0.3351557105,Surfaces or backgrounds covered with circles or ellipses,,0.02,0.0015634483,
03.07.24,2,0.02873,0.03645,3535,0.3351557105,Birds stylized,,0.02,0.0024717307,
27.99.16,2,0.016445,0.01688,4867,0.3351557105,Letter “P”,,0.02,0.0034030872,
27.99.04,2,0.04927,0.08166,4028,0.3351557105,Letter “D”,,0.02,0.0028164445,
05.05.21,2,0.015615,0.01838,7200,0.3351557105,One flower,,0.02,0.0050343595,
03.09.10,2,0.022215,0.0267,1495,0.3351557105,Other fish,,0.02,0.0010453288,
02.05.21,1,0.01932,0.01932,145,0.3351557105,Children with animals,,0.01,0.0001013864,
02.05.27,1,0.01932,0.01932,582,0.3351557105,Shadows or silhouettes of children,,0.01,0.0004069441,
27.03.15,1,0.0163,0.0163,10380,0.3351557105,Letters or numerals representing a figurative element,,0.01,0.0072578683,
03.07.99,1,0.03645,0.03645,1037,0.3351557105,Birds heads,,0.01,0.0007250876,
27.05.12,1,0.01361,0.01361,8504,0.3351557105,"Letters crossed or barred by letters, numerals or a figurative element",,0.01,0.0059461379,
26.04.01,1,0.01628,0.01628,22617,0.3351557105,Squares,,0.01,0.0158141818,
26.04.02,1,0.01628,0.01628,34538,0.3351557105,Rectangles,,0.01,0.0241495429,
26.04.03,1,0.01718,0.01718,5235,0.3351557105,Rhombs or squares standing on one of the corners thereof,,0.01,0.0036603989,
26.04.05,1,0.01718,0.01718,45824,0.3351557105,One quadrilateral,,0.01,0.0320409014,
03.01.26,1,0.02146,0.02146,508,0.3351557105,Animals of Series I standing,,0.01,0.000355202,
03.07.16,1,0.01392,0.01392,3145,0.3351557105,Birds in flight or with outspread wings,,0.01,0.0021990362,
05.03.13,1,0.02543,0.02543,8293,0.3351557105,Stylized leaves,,0.01,0.0057986032,
01.01.99,1,0.02146,0.02146,6653,0.3351557105,Stars with five points,,0.01,0.004651888,
05.03.16,1,0.02543,0.02543,835,0.3351557105,,,0.01,0.0005838459,
26.13.01,1,0.01497,0.01497,1069,0.3351557105,"Stains, spots, blots, strokes of the brush",,0.01,0.0007474625,
26.99.06,1,0.01335,0.01335,1438,0.3351557105,"Several ellipses, juxtaposed, tangential or intersecting",,0.01,0.0010054735,
27.99.24,1,0.01213,0.01213,1485,0.3351557105,Letter “X”,,0.01,0.0010383366,
24.17.97,1,0.03332,0.03332,2252,0.3351557105,"Dactylographic signs : &amp;, paragraph signs, new line signs",,0.01,0.0015746358,
05.05.03,1,0.01224,0.01224,365,0.3351557105,"Tulips, magnolias",,0.01,0.0002552141,
27.05.19,1,0.01268,0.01268,1175,0.3351557105,Letters overlapping,,0.01,0.0008215795,
24.09.21,1,0.0123,0.0123,359,0.3351557105,Crowns with representations of animals or parts of animals' bodies,,0.01,0.0002510188,
13.01.17,1,0.01293,0.01293,524,0.3351557105,Electric light bulbs or tubes,,0.01,0.0003663895,
04.05.03,1,0.08467,0.08467,696,0.3351557105,"Personified geometrical figures or solids, combinations of geometrical figures or solids representing a personage",,0.01,0.0004866548,
14.03.13,1,0.01372,0.01372,597,0.3351557105,"Terminal connectors for cables, cable clamps, collars, junction sleeves, rings, washers, eyelets, clips, segments, joints, gaskets",,0.01,0.0004174323,
05.05.15,1,0.01838,0.01838,70,0.3351557105,Orchids,,0.01,4.89451618406737E-005,
26.13.99,1,0.02065,0.02065,2169,0.3351557105,Strokes of brush,,0.01,0.0015166008,
05.05.10,1,0.01838,0.01838,131,0.3351557105,Edelweiss,,0.01,9.15973743018322E-005,
24.09.11,1,0.01979,0.01979,251,0.3351557105,Crowns with points in the form of arrows,,0.01,0.0001755034,
05.05.19,1,0.01285,0.01285,2477,0.3351557105,"Other flowers, blossoms; flowers or blossoms of trees (cherry trees, peach trees, apple trees) and of bushes; flowers of protea and strelitzia, petals",,0.01,0.0017319595,
03.04.12,1,0.01446,0.01446,237,0.3351557105,"Heads of animals of Series IV, without horns (except 3.4.20)",,0.01,0.0001657143,
26.11.97,1,0.01361,0.01361,4507,0.3351557105,Curved lines in the form of a crescent moon,,0.01,0.0031513692,
26.11.21,1,0.01405,0.01405,1136,0.3351557105,Set of lines evoking speed or propulsion,,0.01,0.0007943101,
26.04.24,1,0.02902,0.02902,18811,0.3351557105,Quadrilaterals with dark surfaces or parts of surfaces,,0.01,0.0131529634,
24.17.15,1,0.01293,0.01293,375,0.3351557105,"Astronomical or astrological signs, signs of the zodiac, signs for masculine or feminine",,0.01,0.0002622062,
27.03.02,1,0.0186,0.0186,4114,0.3351557105,Letters or numerals representing a human being or a part of the human body,,0.01,0.0028765771,
27.03.03,1,0.05033,0.05033,1891,0.3351557105,Letters or numerals representing an animal or a part of an animal's body,,0.01,0.0013222186,
26.11.99,1,0.02296,0.02296,5693,0.3351557105,Three lines,,0.01,0.0039806401,
